"","Geneid","gene_symbol","CO_4hr_APAP_24hr_1.nTPM","CO_4hr_APAP_24hr_2.nTPM","CO_24hr_3.nTPM","CO_24hr_2.nTPM","CO_24hr_1.nTPM","Control_24hr_3.nTPM","Control_24hr_2.nTPM","Control_24hr_1.nTPM","CO_4hr_APAP_4hr_3.nTPM","CO_4hr_APAP_4hr_2.nTPM","CO_4hr_APAP_4hr_1.nTPM","CO_8hr_APAP_8hr_3.nTPM","CO_8hr_APAP_8hr_2.nTPM","CO_8hr_APAP_8hr_1.nTPM","CO_4hr_3.nTPM","CO_4hr_2.nTPM","CO_4hr_1.nTPM","APAP_4hr_3.nTPM","APAP_4hr_2.nTPM","APAP_4hr_1.nTPM","Control_3.nTPM","Control_2.nTPM","Control_1.nTPM","groupTest_CO_4hr_APAP_24hr_vs_Control.padj","groupTest_CO_4hr_APAP_24hr_vs_Control.significance","groupTest_CO_24hr_vs_Control.padj","groupTest_CO_24hr_vs_Control.significance","groupTest_Control_24hr_vs_Control.padj","groupTest_Control_24hr_vs_Control.significance","groupTest_CO_4hr_APAP_4hr_vs_Control.padj","groupTest_CO_4hr_APAP_4hr_vs_Control.significance","groupTest_CO_8hr_APAP_8hr_vs_Control.padj","groupTest_CO_8hr_APAP_8hr_vs_Control.significance","groupTest_CO_4hr_vs_Control.padj","groupTest_CO_4hr_vs_Control.significance","groupTest_APAP_4hr_vs_Control.padj","groupTest_APAP_4hr_vs_Control.significance","interactionTest_co_time_4hr_vs_0hr.padj","interactionTest_co_time_4hr_vs_0hr.significance","interactionTest_apap_time_4hr_vs_0hr.padj","interactionTest_apap_time_4hr_vs_0hr.significance","interactionTest_co_time4hr.apap_time4hr.padj","interactionTest_co_time4hr.apap_time4hr.significance"
"12640","ENSG00000169715.15","MT1E",1355.93909861907,1297.33165488396,1586.62377868466,1574.40201329603,1016.91066956551,4465.17278429548,4125.2681786322,3863.13296519906,3121.92678808758,3535.01088197068,3845.73270937775,3502.61225244537,3460.76844247458,3163.06478404868,3757.3614110391,3598.54883089043,3870.77834195144,3634.20732391694,3764.22210059847,3970.05604362865,4056.5037572007,3831.89135855867,3912.66987017295,2.13262855957228e-20,"downregulated",1.26316098934641e-37,"downregulated",0.998951686080496,"not significant",0.714007885708995,"not significant",0.321597916549035,"not significant",0.999863879244581,"not significant",0.999546838479163,"not significant",0.957237779853425,"not significant",0.828171614494502,"not significant",0.998529711206311,"not significant"
"7525","ENSG00000137801.11","THBS1",106.829455238486,58.4068515829128,54.2750842108109,76.9830863387003,45.529147184459,61.9548482485162,36.1994704679816,62.1657412394324,514.722397762069,522.854092000529,443.477261071661,329.659539980336,258.93007840259,346.758098642839,312.357286497194,312.446676914977,319.04259758257,469.548760991404,438.752798933748,444.313017089826,352.972165284996,372.457256675583,311.319602839442,1.00017886707634e-17,"downregulated",2.14993016490045e-54,"downregulated",7.42704556770916e-75,"downregulated",0.00971471810837086,"upregulated",0.791533594661628,"not significant",0.999863879244581,"not significant",0.392669270136917,"not significant",0.630426499990395,"not significant",0.00241667322029485,"upregulated",0.247948894234777,"not significant"
"10830","ENSG00000162840.4",NA,2969.44664428261,3857.52657133387,10216.2261004775,9630.06287735605,9560.05939127926,7628.39019391552,8371.78011556266,6332.03348800968,13452.0264276507,12316.0504978743,11839.882130946,11771.9782131044,13740.2180501786,12453.111036,13073.0389185694,12520.9214138949,14664.4126981417,11490.9453409984,11244.6613858738,11848.9814379292,12049.1174890162,11498.2370588622,11040.9615751798,1.47514664464538e-16,"downregulated",0.249432350267339,"not significant",1.36134629783925e-10,"downregulated",0.710974394996396,"not significant",0.790359525389672,"not significant",0.645286683732495,"not significant",0.999546838479163,"not significant",0.399540752108478,"not significant",0.983402578848001,"not significant",0.998529711206311,"not significant"
"6206","ENSG00000130066.17","SAT1",2298.73809873475,1570.22292274506,465.536278746695,599.495783630446,507.092269904315,284.777432888465,385.324174687829,407.473434073727,634.63278690158,517.30663376677,487.125644895596,845.889066248018,642.947077642934,838.515793468588,611.897402024469,574.33922986958,500.063421033636,775.060882560662,686.126829335679,708.328400867074,434.077088698552,588.717750157163,615.992559955028,1.47514664464538e-16,"upregulated",0.943820669670752,"not significant",0.00439189581351867,"downregulated",0.995822647444013,"not significant",0.129426380632438,"not significant",0.999863879244581,"not significant",0.620931768582267,"not significant",0.999245589205102,"not significant",0.600572382846193,"not significant",0.891557418934502,"not significant"
"5382","ENSG00000123416.15","TUBA1B",208.746441266026,539.943075913809,1146.85002559195,1265.18494720971,959.039164503321,789.753261012482,771.968827081651,736.837488529785,1165.69773299926,1094.36473293036,1276.07120767979,1165.06819074479,1251.65986396521,1338.49798503051,1406.08488276361,1256.69522801448,1247.75789948237,1041.21547012316,1046.90297697474,994.006674060699,1271.16971018064,1290.02571679329,1235.97609527677,7.73062107717004e-16,"downregulated",0.514859307943292,"not significant",4.3719974149071e-13,"downregulated",0.889831850877564,"not significant",0.970664079838821,"not significant",0.999863879244581,"not significant",0.0333921018104268,"downregulated",0.997308293158036,"not significant",0.00389674565844371,"downregulated",0.790015868720776,"not significant"
"12242","ENSG00000168003.19","SLC3A2",392.822488743445,654.380060514481,304.044233919035,309.191757232319,309.306413752532,175.010204950993,149.543571962793,225.410784500363,284.996195236638,291.912060632212,318.895886558501,430.016924010302,321.154366558062,387.193569542291,209.796991177553,210.482493825252,232.641679861139,215.170667486253,243.184824150295,274.094754536854,180.294159412319,168.199920327831,119.671756164504,2.0175393546272e-14,"upregulated",1.5535607906139e-06,"upregulated",0.784746887547711,"not significant",4.19673260657011e-06,"upregulated",1.11308949264668e-11,"upregulated",0.430559940798472,"not significant",0.0266647109134575,"upregulated",0.256265743954143,"not significant",0.0119029932625405,"upregulated",0.998529711206311,"not significant"
"34241","ENSG00000237973.1","MTCO1P12",858.430844954837,803.172199060615,623.536988861564,521.302645654925,597.556041018375,441.81507738671,458.750347817411,413.363626952253,373.924705766984,322.474344782321,400.272003253485,382.337358732816,295.646400278352,311.48393728514,308.708479092154,285.928384976534,298.67012023425,360.091949574235,353.351856700854,274.439644025379,321.763539701173,279.202781974503,276.23485859561,3.45737215615328e-13,"upregulated",2.14298561499297e-09,"upregulated",0.0133946483443082,"upregulated",0.313038739350245,"not significant",0.854233221749442,"not significant",0.999863879244581,"not significant",0.999546838479163,"not significant",0.999245589205102,"not significant",0.999537080780849,"not significant",0.995163978837521,"not significant"
"1665","ENSG00000085662.14","AKR1B1",212.113071968296,265.104569168818,599.81056858315,526.539698484161,495.070097059167,571.247574382525,423.031405531369,571.692656686249,884.813538862343,915.904016480423,929.769478615935,1158.27666201963,899.698448397244,1053.49778851925,1002.10308134755,894.065821635106,1193.30028065118,949.686498991698,857.868908515975,903.661912271657,1216.67432054334,1111.005919539,897.36516751174,4.3533377658485e-13,"downregulated",2.73142540257944e-09,"downregulated",1.94141972142221e-14,"downregulated",0.619687423441968,"not significant",0.951113631060773,"not significant",0.999863879244581,"not significant",0.551000925837552,"not significant",0.97429045520182,"not significant",0.162953695634022,"not significant",0.99512853024153,"not significant"
"77959","ENSG00000309777.1",NA,1179.27243034661,1113.60283530482,89.9848086245224,135.41582192686,91.2105265997301,277.785331071937,258.637684703706,510.181852840357,232.868446271931,230.092595839917,257.683049748012,305.957907375963,232.416159389474,205.829814839893,212.615210090572,274.534235624995,132.632605594478,468.585305003398,373.719950545315,354.595482536487,172.721441952094,181.763889182019,196.063954048015,6.03539725550119e-13,"upregulated",0.20705733767994,"not significant",0.0614704711296839,"not significant",0.719389520154041,"not significant",0.729789175397929,"not significant",0.999863879244581,"not significant",0.00993845562301685,"upregulated",0.986194269601197,"not significant",0.013869666212875,"upregulated",0.784305176567326,"not significant"
"1122","ENSG00000070669.17","ASNS",173.753645944658,149.810263388773,24.8593775531593,62.3503954983837,52.4118332930509,55.5151375701805,59.1788593714153,58.0859408293995,17.1553834907016,19.5132303905612,12.3506923694539,41.2314752228613,63.2771915058833,19.6079115138911,29.5053437271538,18.6069042644608,21.7321054375296,20.0940858939373,20.7642765970973,16.2142733699706,17.2920826552941,7.23811807516612,15.8418087238549,1.69857622745545e-12,"upregulated",0.000859410772258272,"upregulated",2.53036328068635e-05,"upregulated",0.917490184772716,"not significant",0.00416519925759956,"upregulated",0.805778564598696,"not significant",0.999546838479163,"not significant",0.776394071731126,"not significant",0.970996726376066,"not significant",0.897193706274329,"not significant"
