"BF_annotation","apap_NGenes","co_NGenes","conditioned_NGenes","apap_Direction","co_Direction","conditioned_Direction","apap_PValue","co_PValue","conditioned_PValue","apap_FDR","co_FDR","conditioned_FDR"
"peptidyl-lysine modification",5,5,5,"Up","Down","Down",0.672913872705929,3.17857977270936e-10,0.313839018305412,0.746921549753318,3.04127217639205e-08,0.437722841320706
"peptidyl-tyrosine modification",8,8,8,"Down","Down","Down",0.811751677634448,0.98577593335426,0.556890944073661,0.832700108025014,0.988598665870567,0.651071030203765
"peptidyl-tyrosine phosphorylation",8,8,8,"Down","Down","Down",0.811751677634448,0.98577593335426,0.556890944073661,0.832700108025014,0.988598665870567,0.651071030203765
"placenta development",8,8,8,"Up","Up","Up",7.63135673844742e-06,0.0081660958166338,9.12433005996816e-06,8.08923814275426e-05,0.0199755266899196,9.06730299709336e-05
"positive regulation of amide metabolic process",6,6,6,"Down","Up","Down",0.00237961150611685,0.000310640465658472,0.180829043167861,0.00687924053586507,0.00189968592460373,0.296410493440102
"positive regulation of cellular catabolic process",6,6,6,"Up","Up","Up",0.0778472796154176,3.70942230304032e-05,0.00259596483591371,0.149129126010258,0.000346940085990242,0.00736985712549832
"positive regulation of DNA metabolic process",7,7,7,"Down","Down","Down",0.00187900889633703,0.332254436755693,0.00264202425253714,0.006097192133012,0.463407503896098,0.00736985712549832
"positive regulation of signal transduction by p53 class mediator",5,5,5,"Up","Down","Up",0.000575019737637548,0.988598665870567,0.000558691131397183,0.00203173640631934,0.988598665870567,0.00197404199760338
"positive regulation of translation",6,6,6,"Down","Up","Down",0.00237961150611685,0.000310640465658472,0.180829043167861,0.00687924053586507,0.00189968592460373,0.296410493440102
"protein localization to cell periphery",6,6,6,"Down","Down","Down",4.71170489393308e-05,0.987568361047136,5.30944011470768e-05,0.000312150449223067,0.988598665870567,0.00029110378559949
"protein localization to plasma membrane",6,6,6,"Down","Down","Down",4.71170489393308e-05,0.987568361047136,5.30944011470768e-05,0.000312150449223067,0.988598665870567,0.00029110378559949
"protein-containing complex disassembly",6,6,6,"Up","Up","Up",3.07637042687555e-05,0.616127023444769,4.81710837388789e-05,0.000257443630459586,0.783713573821746,0.00028367415979562
"protein-RNA complex assembly",17,17,17,"Up","Up","Up",0.000348737366702566,0.150247675246351,1.4212205040307e-05,0.00149862814339751,0.238893803641698,9.82495913656005e-05
"protein-RNA complex organization",17,17,17,"Up","Up","Up",0.000348737366702566,0.150247675246351,1.4212205040307e-05,0.00149862814339751,0.238893803641698,9.82495913656005e-05
