"beta","deepSplit","minModuleSize","mergeCutHeight","n_mods","effD","delta_effD_nMods","globalMedian_mod_cohesion","grey_proportion"
16,1,80,0.3,6,3.12421104238929,2.87578895761071,NA,0
16,1,90,0.15,10,2.82825603248807,7.17174396751193,0.686767365383846,0
16,1,90,0.2,9,2.92980873162303,6.07019126837697,0.673717353192422,0
16,1,90,0.25,7,3.08494497138088,3.91505502861912,0.620003295477693,0
16,1,90,0.3,6,3.12421104238929,2.87578895761071,NA,0
16,1,100,0.15,10,2.82825603248807,7.17174396751193,0.686767365383846,0
16,1,100,0.2,9,2.92980873162303,6.07019126837697,0.673717353192422,0
16,1,100,0.25,7,3.08494497138088,3.91505502861912,0.620003295477693,0
16,1,100,0.3,6,3.12421104238929,2.87578895761071,NA,0
16,2,20,0.15,33,4.17649011188877,28.8235098881112,NA,0
16,2,20,0.2,25,4.3287645360632,20.6712354639368,NA,0
16,2,20,0.25,20,4.16923182004964,15.8307681799504,NA,0
16,2,20,0.3,15,4.31319572292883,10.6868042770712,NA,0
16,2,30,0.15,23,3.64825727381755,19.3517427261825,0.699397900496054,0
16,2,30,0.2,19,3.74035538833088,15.2596446116691,NA,0
16,2,30,0.25,15,3.75186008200905,11.2481399179909,NA,0
16,2,30,0.3,13,3.82379677066027,9.17620322933973,NA,0
16,2,40,0.15,19,3.44782512013657,15.5521748798634,0.698670210140739,0
16,2,40,0.2,15,3.46540522374125,11.5345947762588,NA,0
16,2,40,0.25,12,3.5665717039632,8.4334282960368,NA,0
16,2,40,0.3,11,3.52958051660301,7.47041948339699,NA,0
16,2,50,0.15,16,3.18181968011429,12.8181803198857,0.699954206283456,0
16,2,50,0.2,12,3.26157982759424,8.73842017240576,NA,0
16,2,50,0.25,10,3.34369781368035,6.65630218631965,NA,0
16,2,50,0.3,9,3.3565055925237,5.6434944074763,NA,0
16,2,60,0.15,15,3.22200820436276,11.7779917956372,0.688023975586331,0
16,2,60,0.2,12,3.26526531492362,8.73473468507638,NA,0
16,2,60,0.25,10,3.34517197002322,6.65482802997678,NA,0
16,2,60,0.3,9,3.35626941880789,5.64373058119211,NA,0
16,2,70,0.15,12,3.04384530803387,8.95615469196613,0.675199156347345,0
16,2,70,0.2,11,3.14543549129437,7.85456450870563,0.670166287235701,0
16,2,70,0.25,9,3.22417963668755,5.77582036331245,0.639673558311459,0
16,2,70,0.3,8,3.23910853334003,4.76089146665997,NA,0
16,2,80,0.15,11,2.84140445629869,8.15859554370131,0.676603271494225,0
16,2,80,0.2,10,2.91998101147711,7.08001898852289,0.673795041200466,0
16,2,80,0.25,8,2.92438068042981,5.07561931957019,NA,0
16,2,80,0.3,7,2.93439668580504,4.06560331419496,NA,0
16,2,90,0.15,11,2.84140445629869,8.15859554370131,0.676603271494225,0
16,2,90,0.2,10,2.91998101147711,7.08001898852289,0.673795041200466,0
16,2,90,0.25,8,2.92438068042981,5.07561931957019,NA,0
16,2,90,0.3,7,2.93439668580504,4.06560331419496,NA,0
16,2,100,0.15,11,2.84140445629869,8.15859554370131,0.676603271494225,0
16,2,100,0.2,10,2.91998101147711,7.08001898852289,0.673795041200466,0
16,2,100,0.25,8,2.92438068042981,5.07561931957019,NA,0
16,2,100,0.3,7,2.93439668580504,4.06560331419496,NA,0
16,3,20,0.15,42,4.41262983235555,37.5873701676444,NA,0
16,3,20,0.2,33,4.62593175038038,28.3740682496196,NA,0
